coin,year,month,min_price,max_price
bitcoin,2021,1,29022.41839530417,40815.96185478254
bitcoin,2021,2,33064.78676701507,57669.3035269179
bitcoin,2021,3,44970.163459946736,61315.197932766816
bitcoin,2021,4,48981.4413932161,63576.676041048275
bitcoin,2021,5,34775.07941347281,58771.881689509355
bitcoin,2021,6,31711.935467727006,40624.51305316154
bitcoin,2021,7,29971.903783612062,41936.261478677225
bitcoin,2021,8,38368.35401197897,49518.57748790696
bitcoin,2021,9,40386.62363528928,52739.800166345514
ethereum,2021,1,730.1473402196374,1392.5397634449737
ethereum,2021,2,1317.0474362291777,1969.9797177628186
ethereum,2021,3,1416.661552837565,1927.7207203999014
ethereum,2021,4,1915.8325358462234,2757.497552304977
ethereum,2021,5,2120.0373745099428,4182.790285752286
ethereum,2021,6,1817.047665540675,2858.27670209791
ethereum,2021,7,1794.973425186835,2462.3999826480103
ethereum,2021,8,2521.268474889094,3323.19799054098
ethereum,2021,9,2744.1109995297,3950.270344526561
cardano,2021,1,"0.17567857930628164","0.37968796024672974"
cardano,2021,2,"0.34567339342407216",1.3428086739147602
cardano,2021,3,1.0313636409049007,1.3830039530574736
cardano,2021,4,1.0846330548696723,1.4780712966375846
cardano,2021,5,1.2779659806591444,2.286208576781481
cardano,2021,6,1.147977647629035,1.8410805442290892
cardano,2021,7,1.0600641556948065,1.45668654476562
cardano,2021,8,1.3116274121048137,2.93442218478271
cardano,2021,9,1.972181151410765,2.96707544958908
